title,author,edition,year,publisher,price
Python Basics,John Smith,1,2018,ABC Publications,350
Advanced Python,John Smith,2,2021,XYZ Publications,550
Data Science Intro,Alice Brown,1,2020,ABC Publications,600
Machine Learning,David Lee,3,2022,TechBooks,750
AI Fundamentals,Alice Brown,2,2019,XYZ Publications,500
C Programming,Mark Taylor,4,2015,CodePress,300
Java Essentials,James Wilson,2,2017,TechBooks,400
Web Development,Sarah Clark,1,2021,WebPub,450
Database Systems,Robert King,3,2016,CodePress,380
Cloud Computing,Emily Davis,1,2023,XYZ Publications,800
